num parti,nom parti,année,immobilisations incorporelles,écarts d'acquisition,terrains et constructions,autres immobilisations corporelles,participations et créances rattachées,prêts à des partis ou groupements politiques,autres immobilisations financières,stocks et en-cours,créances clients et comptes rattachés,autres créances,valeurs mobilières de placement,disponibilités,charges constatées d'avance,total général (i + ii + iii),réserves,excédent ou déficit de l'exercice,provisions pour risques,provisions pour charges,emprunts et dettes auprès d'établissement de crédit,dettes fournisseurs et comptes rattachés,dettes fiscales et sociales,autres dettes,produits constatés d'avance,total général (i + ii + iii + iv),"communication (presse, publications, télévisions, publicité, sites internet, réseaux sociaux)",contributions versées aux candidats,contributions à des partis ou groupements politiques,achats de marchandises et variation de stocks,autres achats et autres charges externes,impôts et taxes,salaires et traitements,charges sociales,total iv,total vi,dotations aux amortissements et dépréciations sur immobilisations,dotations aux provisions,total des charges (ii + iv +vi + vii + viii + ix),cotisations des adhérents,cotisations des élus,aide publique 1ère fraction,aide publique 2nde fraction,dons de personne physique,dévolutions de l'excédent des comptes de campagne,dévolutions de partis ou groupements politiques,prestations de services (manifestations et colloques),"ventes de marchandises, productions vendue (biens et services), production stockée et production immobilisée",total iii,total v,"reprise sur amortissements, dépréciations, provisions et transferts de charges",total des produits (i + iii + v),excédent ou déficit d'ensemble,total flux
69,Parti progressiste Martiniquais,2008,0,0,0,5079,90,0,704,0,0,10793,0,1347,0,18013,0,-36051,0,0,32288,65833,0,7410,0,18013,50070,0,0,9812,140674,0,18811,2098,5110,0,0,0,241013,11824,16853,71859,44492,0,11614,0,0,4997,60,275,20000,204961,-36052,445974
70,Parti radical,2008,2939,0,389836,28968,45,2699,0,457,0,230650,342501,297084,10457,1305636,160502,424560,0,0,0,0,50540,123341,0,1305636,162238,0,0,52181,353517,22988,160711,72014,0,18194,0,0,976551,183038,3557,0,0,114598,0,1000000,0,0,10122,11520,-1896,1401111,424560,2377662
76,PARTI SOCIALISTE,2008,245377,0,14048629,2574300,1348989,1767573,492160,37495,0,3169941,6553494,11089958,276772,43828039,0,17139,325770,5604172,4765262,3411002,3484994,6180379,355383,43828040,4210924,0,0,2980479,16480733,1113355,11374928,5027410,368984,306408,0,0,59149713,12369123,13166686,22702818,12457890,1697237,66198,89885,739962,3359598,470816,712047,2192099,59166852,17139,118316565
77,CHASSE PÊCHE NATURE TRADITIONS,2008,0,0,0,6971,0,0,2213,11453,0,0,66141,206217,9296,302291,0,183670,0,0,252999,52082,25936,75,0,302291,71352,0,0,10893,150844,2248,69360,28100,12484,20911,0,0,387060,88505,0,358676,0,50734,0,0,944,55863,7189,8819,0,570730,183670,957790
79,PARTI SOCIALISTE GUYANAIS,2008,0,0,318227,736,0,0,0,0,0,0,0,2313,0,324164,0,-32296,0,0,0,4466,7890,0,0,324164,11740,0,0,6353,24752,7504,7390,2144,0,2,0,0,114571,34307,0,46883,44492,0,0,500,0,0,0,585,0,82275,-32296,196846
81,PARTIT OCCITAN,2008,0,0,0,0,0,0,0,0,0,0,0,52758,0,52758,0,7878,0,0,0,0,0,0,0,52758,1975,0,0,0,42890,0,0,0,14,0,0,0,50332,6975,0,0,0,33741,0,6500,0,10086,908,0,0,58210,7878,108542
90,Union démocrate bretonne,2008,0,0,58033,3146,272,3395,0,0,0,46117,27049,28980,7621,174613,0,5174,0,0,0,40100,9517,0,17031,174614,71683,0,0,2434,58329,1957,42007,11593,183,713,0,0,215381,49934,46781,0,0,10868,238,39535,983,64464,482,793,0,220553,5172,435934
95,UNION POUR LA DÉMOCRATIE FRANÇAISE,2008,118898,0,2123280,586205,15265,108992,15799,0,0,189564,19348,342950,4253,3524554,0,-859999,0,0,33532,60163,291821,8057,0,3524555,43413,0,0,0,653329,191665,1007467,583442,38212,55723,0,0,3055004,570,58405,0,0,21810,2326,0,14335,1927861,4232,9131,77949,2195004,-860000,5250008
96,LUTTE OUVRIÈRE,2008,0,0,0,392540,845,0,24640,66499,0,331227,28583,2335880,40399,3247915,0,1163783,0,0,608,183397,26988,184,13269,3247915,1181730,0,0,99441,412387,43177,122928,50678,0,33,0,0,2465267,1036947,73825,365107,0,1056921,0,0,652298,0,20860,46991,56350,3629050,1163783,6094317
97,Union pour le pays Malouin,2008,0,0,0,0,7,0,0,0,0,0,162,0,0,169,0,9,0,0,0,0,0,0,0,169,0,0,0,0,8116,0,0,0,0,0,0,0,8116,0,0,0,0,8125,0,0,0,0,0,0,0,8125,9,16241
100,UNION RÉPUBLICAINE LORRAINE,2008,0,0,0,0,0,0,0,0,0,4573,0,85855,0,90428,0,-2956,0,0,0,765,611,0,0,90428,0,0,0,0,3895,611,0,0,0,0,0,0,5548,0,0,0,0,0,0,0,0,0,2592,0,0,2592,-2956,8140
104,LES VERTS,2008,23465,0,0,2221669,103665,0,401382,37091,0,242764,40360,2004392,399,5167954,0,439834,327791,18715,2831744,12902,28184,434653,374438,5167943,197815,0,0,139039,1600842,83688,1114236,593327,125920,194490,0,0,4726927,784306,1539873,1838699,400432,232463,4097,6000,128265,286247,23892,158579,81592,5166761,439834,9893688
106,PARTI DES TRAVAILLEURS,2008,0,0,0,737,0,0,0,0,0,25502,0,253232,0,344834,38481,-245318,0,0,0,400426,46676,126022,0,344833,227356,0,0,0,268744,904,197781,0,0,13465,0,0,729374,154727,0,0,0,0,2133,0,330,304476,2985,811,0,484056,-245318,1213430
115,Energie France,2008,0,0,0,0,0,0,0,0,0,0,0,22459,0,22459,0,-139,0,0,0,3494,0,0,0,22459,0,0,0,0,139,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-139,139
116,SOLIDARITE ÉCOLOGIE GAUCHE ALTERNATIVE,2008,0,0,0,0,0,0,0,0,0,0,0,16587,0,16587,0,13768,0,0,0,1909,0,0,0,16587,0,0,0,0,2282,0,0,0,0,0,0,0,94270,135,0,107903,0,0,0,0,0,0,0,0,0,108038,13768,202308
121,Tahoeraa Huiraatira,2008,41899,0,0,182470,0,0,0,0,0,766,0,1391,0,226527,0,49757,0,0,5229,72908,0,19853,0,226528,22649,0,0,0,169639,160,0,0,6379,10317,0,0,284596,10952,32514,163709,133477,42327,83801,0,0,0,0,1050,0,334354,49758,618950
127,MOUVEMENT RÉPUBLICAIN ET CITOYEN,2008,0,0,0,3233,0,16500,10432,0,0,58185,51334,260331,1892,401907,0,1735,0,0,2598,15954,0,16848,5124,401908,96684,0,0,0,153770,1840,0,1946,10919,812,0,0,376521,131558,90617,0,0,74050,3640,22246,19389,28500,8199,0,57,378256,1735,754777
133,Mouvement indépendaniste Martiniquais,2008,0,0,0,5876,0,0,0,0,0,166,0,44719,1360,52121,0,36741,0,0,0,5118,0,0,0,52119,12154,0,0,0,31614,775,0,0,0,0,0,0,82292,56000,0,62782,44492,0,0,0,0,0,0,0,0,119033,36741,201325
147,MOUVEMENT DES RÉFORMATEURS,2008,0,0,0,767,0,0,0,0,0,0,6098,22582,0,29447,0,-6172,0,0,0,0,0,3900,0,29447,0,0,0,6068,0,0,0,0,439,0,0,0,6787,0,0,0,0,0,0,0,0,0,615,0,0,615,-6172,7402
148,ARCHIPEL DEMAIN,2008,0,0,0,14889,0,0,560,0,0,3792,0,57913,600,80215,0,-2660,0,0,0,3737,84,1421,110,80215,0,0,0,5377,40394,690,4205,477,0,587,0,0,56884,885,6995,46329,44492,0,0,0,0,0,0,15,0,54224,-2660,111108
152,L'ACTION,2008,0,0,0,694,0,0,0,0,0,0,0,803,0,1497,0,976,0,0,0,3366,0,0,0,1497,0,0,0,6863,0,0,0,0,0,523,0,0,7386,0,0,8231,0,0,0,0,0,102,0,0,0,8362,976,15748
160,Comité des citoyens montreuillois,2008,0,0,0,3969,8,0,0,0,0,0,0,41800,0,45777,0,905,0,35000,0,4345,0,0,0,45777,0,0,0,1088,28089,0,0,0,0,0,0,35000,65104,1190,0,0,0,1768,0,57267,0,0,0,0,0,66009,905,131113
170,ASSOCIATION PARTI SOCIALISTE - PARTI RADICAL DE GAUCHE ET APPARENTÉS,2008,0,0,0,0,0,0,0,0,0,0,0,466,0,466,0,-58,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,-58,58
177,Mouvement Pour la France,2008,0,0,0,14692,15,0,23269,0,0,7870,393608,169349,5295,614098,0,195011,0,0,0,66605,79602,0,0,614098,290071,0,0,0,516937,18875,238828,86094,475,936,0,250725,1417248,257952,0,863863,266955,204987,549,0,20616,251838,12454,0,0,1612259,195011,3029507
180,AIMER ANGERS,2008,0,0,0,0,0,5866,0,0,0,0,139526,30844,0,178636,0,-44067,0,0,0,4623,0,0,0,178637,0,0,0,0,71616,0,0,0,0,125,0,0,71741,1800,21340,0,0,0,0,0,0,0,2682,1853,0,27675,-44066,99416
182,MOUVEMENT ÉCOLOGISTE INDÉPENDANT,2008,0,0,0,1103,0,0,404,0,0,270,0,22178,219,24174,0,69656,0,0,85,88097,0,147458,0,24174,0,0,0,2999,50874,0,0,0,580,39,0,0,107874,9892,0,123357,0,27267,1012,0,0,0,66,15028,0,177530,69656,285404
186,Rassemblement UMP pour la Calédonie dans la république,2008,221,0,176777,9553,0,4609,56,2450,0,103358,0,67321,0,364348,0,18409,0,0,124571,35498,12946,25389,0,364347,48363,0,0,57449,55963,917,37214,10866,6491,2935,0,0,371991,69423,94276,0,0,47709,20931,88001,5895,50620,1919,11623,0,390401,18409,762392
188,LA VOLONTÉ DE VIVRE ENSEMBLE,2008,0,0,0,1038,0,0,0,0,0,54,0,197948,0,199040,0,12043,0,0,0,3588,0,68,0,199040,17171,0,0,721,3458,0,3688,980,0,1030,0,0,57048,0,47204,0,0,0,0,0,0,0,3078,144,0,69091,12043,126139
189,Mouvement démocratique Alsacienne,2008,0,0,0,0,0,0,0,0,0,0,0,30543,0,30543,0,-8003,0,0,0,1355,0,0,0,30543,0,0,0,0,1510,0,0,0,0,0,0,0,9010,0,0,0,0,0,0,0,0,0,1007,0,0,1007,-8003,10017
192,DÉMOCRATIE ET LIBERTÉ,2008,0,0,0,289,0,0,197,0,0,0,0,7550,0,8036,0,-6482,0,0,10353,1311,0,0,0,8038,0,0,0,0,0,0,0,0,543,0,0,0,14346,708,1791,0,0,1755,0,2788,815,0,7,0,0,7864,-6482,22210
193,Parti Bonapartiste,2008,0,0,0,0,0,0,0,0,0,0,0,1083,0,1083,0,-1153,0,0,0,2871,0,0,0,1083,0,0,0,0,1333,0,0,0,0,0,0,0,1333,180,0,0,0,0,0,0,0,0,0,0,0,180,-1153,1513
