num parti,nom parti,année,immobilisations incorporelles,écarts d'acquisition,terrains et constructions,autres immobilisations corporelles,participations et créances rattachées,prêts à des partis ou groupements politiques,autres immobilisations financières,stocks et en-cours,créances clients et comptes rattachés,autres créances,valeurs mobilières de placement,disponibilités,charges constatées d'avance,total général (i + ii + iii),réserves,excédent ou déficit de l'exercice,provisions pour risques,provisions pour charges,emprunts et dettes auprès d'établissement de crédit,dettes fournisseurs et comptes rattachés,dettes fiscales et sociales,autres dettes,produits constatés d'avance,total général (i + ii + iii + iv),"communication (presse, publications, télévisions, publicité, sites internet, réseaux sociaux)",contributions versées aux candidats,contributions à des partis ou groupements politiques,achats de marchandises et variation de stocks,autres achats et autres charges externes,impôts et taxes,salaires et traitements,charges sociales,total iv,total vi,dotations aux amortissements et dépréciations sur immobilisations,dotations aux provisions,total des charges (ii + iv +vi + vii + viii + ix),cotisations des adhérents,cotisations des élus,aide publique 1ère fraction,aide publique 2nde fraction,dons de personne physique,dévolutions de l'excédent des comptes de campagne,dévolutions de partis ou groupements politiques,prestations de services (manifestations et colloques),"ventes de marchandises, productions vendue (biens et services), production stockée et production immobilisée",total iii,total v,"reprise sur amortissements, dépréciations, provisions et transferts de charges",total des produits (i + iii + v),excédent ou déficit d'ensemble,total flux,deputes
104,verts,2009,12450,0,0,2326055,73606,0,330585,3746,0,278722,180214,1904487,3737,5267169,0,461398,272778,3560,2492825,197340,37828,531450,370454,5267168,169441,0,0,233745,2052593,154612,1073721,600739,119233,760303,0,0,6115532,934219,1865494,1838695,396041,206783,64,0,414606,648223,24250,485781,154430,6576932,461400,12692464,0
455,la france en action,2009,0,0,0,1976,0,0,1000,15589,0,3331,0,2153,0,24049,0,-268343,0,0,0,0,3663,1465215,0,24049,54511,0,0,18736,108776,504,10924,5075,91061,8606,0,0,311162,8240,0,0,0,14810,0,0,0,0,0,0,0,42819,-268343,353981,0
401,l'union pour un mouvement populaire,2009,1060946,0,1366994,1086005,0,1268223,898706,72673,0,688809,470294,5910574,121133,12944357,0,10169636,943155,827004,12676531,3981129,2002846,737876,114374,12944356,8854498,0,0,0,18633885,1255303,7250360,3595712,266215,35253,0,0,43849371,5886030,1749918,33452186,20330130,7168555,42738,140611,989423,3553935,61926,206025,393854,54019008,10169637,97868379,313
529,mouvement democrate,2009,0,0,84515,60996,15,86843,9222,0,0,307969,33337,768894,15767,1367558,0,-97951,0,0,812371,94357,4181,16905,0,1367558,945586,0,0,11001,4077475,42236,7565,12766,6459,39454,0,0,5731051,510753,42973,3745114,968101,231487,338,0,230487,454613,10251,28479,0,5633100,-97951,11364151,0
531,association psle - nouveau centre,2009,3027,0,0,47189,0,0,15411,0,0,159674,0,372685,29607,627593,0,326208,0,0,100739,238626,110944,6777,0,627592,557515,0,0,71316,539156,32388,440283,136488,5182,0,0,0,1850738,164985,68047,0,0,111911,0,1379553,123525,71084,0,0,0,2176945,326207,4027683,25
1,democratie et republique,2010,0,0,0,0,0,0,0,0,0,0,0,13762,0,13762,0,-11501,0,0,0,0,0,0,0,13762,80000,0,0,0,0,0,0,0,6,0,0,0,466446,18294,0,409416,394743,26500,0,0,0,0,735,0,0,454945,-11501,921391,21
40,front national,2010,0,0,4194641,515645,14000,492572,97720,0,0,252253,0,551001,25076,6142908,0,-3009633,972682,0,0,868135,1051571,179456,10320,6142907,463919,0,0,137056,1587736,229251,680325,251875,201036,3688904,0,0,7561539,1004890,542717,1838367,0,119936,0,66892,386356,420625,11345,32600,128178,4551906,-3009633,12113445,0
52,parti radical de gauche,2010,0,0,76225,51129,0,0,79862,0,0,104039,0,1123936,19937,1455128,0,391520,0,0,38,63970,56373,41447,0,1455128,39968,0,0,20174,1219855,21109,138662,103794,2139,19675,0,0,1675541,115713,238229,1250392,745626,74087,0,250045,47756,0,4731,4435,0,2067061,391520,3742602,0
76,parti socialiste,2010,401105,0,14520275,3678412,940397,307450,1305492,33599,0,3611451,8179107,14947596,264800,49785771,0,139976,315224,10281155,3979204,2343529,3773333,7677941,252465,49785770,3406836,0,0,1471937,15785449,1352304,13090116,5932691,220179,340437,0,2463809,54887190,9360704,15111522,23212255,12938798,886840,80,34312,707404,2981575,267275,745114,942223,55027166,139976,109914356,205
95,union pour la democratie francaise,2010,115158,0,4605102,272278,15250,73589,5986,0,0,5170,0,32705,5800,5131038,0,-63809,0,0,0,35859,200463,885488,0,5131036,0,0,0,0,51385,139996,902989,412212,9403,344,0,0,1673672,5730,8228,0,0,0,0,0,0,0,0,0,0,1609864,-63808,3283536,0
104,europe ecologie les verts,2010,29789,0,0,2248433,156218,0,293340,1596,0,190855,255735,3496962,28461,6922403,0,97071,221954,515787,2013631,549566,1114381,531184,7369,6922404,192518,0,0,551326,3421608,304870,1708177,934528,89720,167352,0,0,8684388,1044544,2065467,1793314,350883,439467,2937,1073,245567,2987212,16400,148320,0,8781458,97070,17465846,0
401,union pour un mouvement populaire,2010,861218,0,21852159,2477662,0,1344832,902872,51641,0,2374293,486958,5034056,344202,35729893,0,4610088,1038737,597124,28405731,4895135,3593797,778705,111829,35729894,6063426,0,0,0,20106037,1337320,7618209,3613015,539448,1884076,0,0,45362121,5519672,1751632,33339645,20219613,7050357,32845,205565,497786,747546,71598,100819,202882,49972209,4610088,95334330,333
455,la france en action,2010,0,0,0,1122,0,0,1000,13981,0,0,0,1783,2857,20743,0,-291247,0,0,1488,0,0,18783,0,20743,22464,0,0,6364,135128,353,18784,9574,96524,136,0,0,299809,1870,0,0,0,900,0,0,573,2609,0,2610,0,8562,-291247,308371,0
529,mouvement democrate,2010,0,0,84515,53251,15,215373,6363,0,0,80701,463275,732056,7737,1643286,0,-1009144,58388,0,2015202,120597,7481,11715,0,1643286,468133,0,0,0,2767452,29893,24510,23672,3203,83,0,0,6058614,351993,32305,4004673,1228089,229833,2208,0,117177,209120,848,1983,0,5049470,-1009144,11108084,0
531,association psle - nouveau centre,2010,28151,0,0,43666,0,0,15462,0,0,56747,0,252344,15620,411990,0,-213013,0,0,126625,200853,78062,48958,0,411990,469613,0,0,80036,880911,37332,467790,164634,2965,602,0,0,2361268,178130,155022,0,0,229981,0,1418776,72292,43744,3413,0,0,2148255,-213013,4509523,28
1,democratie et republique,2011,0,0,0,0,0,0,0,0,0,0,0,67870,0,67870,0,37958,0,0,0,0,0,16150,0,67870,50000,0,0,0,0,0,0,0,0,0,0,0,591350,18294,0,585459,570808,24684,0,0,0,0,871,0,0,629308,37958,1220658,21
40,front national,2011,122,0,59760,458555,14000,706700,101242,0,0,1314989,0,964297,37394,3657059,0,5956610,58439,0,0,474976,512298,411020,0,3657059,658450,0,0,201190,2213699,157238,477062,210911,1212354,147630,0,0,5908569,1406035,577760,1835199,0,262666,0,95000,319787,82416,28097,5538435,1334093,11865179,5956610,17773748,0
