nom,date_naissance,num_deptmt,num_circo,groupe_sigle,place_en_hemicycle,nb_mandats,mandat_debut,mandat_fin
André Vézinhet,1939-09-07,34,2,"socialiste, radical, citoyen et divers gauche",462.0,2,2007-06-20,2012-06-19
Pascale Got,1961-04-01,33,5,"socialiste, radical, citoyen et divers gauche",382.0,2,2007-06-20,2012-06-19
Michel Hunault,1960-02-14,44,6,nouveau centre,387.0,2,2007-06-20,2012-06-19
Éric Ciotti,1965-09-28,06,1,union pour un mouvement populaire,269.0,2,2007-06-20,2012-06-19
Jean-Claude Guibal,1941-01-13,06,4,union pour un mouvement populaire,187.0,2,2007-06-20,2012-06-19
Bernard Perrut,1957-01-24,69,9,union pour un mouvement populaire,203.0,3,2007-06-20,2012-06-19
Michèle Tabarot,1962-10-13,06,9,union pour un mouvement populaire,98.0,2,2007-06-20,2012-06-19
Nicolas Perruchot,1966-07-09,41,1,nouveau centre,376.0,3,2007-06-20,2012-06-19
Jean-Marie Sermier,1961-03-05,39,3,union pour un mouvement populaire,309.0,3,2007-06-20,2012-06-19
Marc Dolez,1952-10-21,59,17,democratie et republique,595.0,1,2007-06-20,2012-06-19
Michel Buillard,1950-09-09,987,1,union pour un mouvement populaire,110.0,2,2007-06-20,2012-06-19
Jacques Kossowski,1940-10-11,92,3,union pour un mouvement populaire,91.0,2,2007-06-20,2012-06-19
Jacques Pélissard,1946-03-20,39,1,union pour un mouvement populaire,84.0,3,2007-06-20,2012-06-19
Jean-Pierre Kucheida,1943-02-24,62,12,"socialiste, radical, citoyen et divers gauche",507.0,2,2007-06-20,2012-06-19
Michel Ménard,1961-05-20,44,5,"socialiste, radical, citoyen et divers gauche",604.0,2,2007-06-20,2012-06-19
Michel Sainte-Marie,1938-08-18,33,6,"socialiste, radical, citoyen et divers gauche",518.0,3,2007-06-20,2012-06-19
Daniel Fasquelle,1963-01-16,62,4,union pour un mouvement populaire,62.0,3,2007-06-20,2012-06-19
Guy Delcourt,1947-07-13,62,13,"socialiste, radical, citoyen et divers gauche",623.0,2,2007-06-20,2012-06-19
François Hollande,1954-08-12,19,1,"socialiste, radical, citoyen et divers gauche",509.0,2,2007-06-20,2012-05-14
Huguette Bello,1950-08-24,974,2,democratie et republique,596.0,2,2007-06-20,2012-06-19
Jean-Louis Christ,1951-01-24,68,2,union pour un mouvement populaire,19.0,2,2007-06-20,2012-06-19
Claude Bodin,1952-05-15,95,4,union pour un mouvement populaire,318.0,2,2007-06-20,2012-06-19
Michel Herbillon,1951-03-06,94,8,union pour un mouvement populaire,259.0,2,2007-06-20,2012-06-19
Jean-Paul Charié,1952-04-25,45,5,union pour un mouvement populaire,248.0,1,2007-06-20,2009-11-03
Christophe Caresche,1960-09-02,75,18,"socialiste, radical, citoyen et divers gauche",448.0,1,2007-06-20,2012-06-19
Catherine Génisson,1949-04-22,62,2,"socialiste, radical, citoyen et divers gauche",496.0,2,2007-06-20,2011-09-30
Christian Paul,1960-03-23,58,3,"socialiste, radical, citoyen et divers gauche",502.0,4,2007-06-20,2012-06-19
François Loncle,1941-10-21,27,4,"socialiste, radical, citoyen et divers gauche",526.0,1,2007-06-20,2012-06-19
Alain Marc,1957-01-29,12,3,union pour un mouvement populaire,30.0,2,2007-06-20,2012-06-19
Franck Reynier,1965-10-20,26,2,union pour un mouvement populaire,241.0,3,2007-06-20,2012-06-19
Patrice Martin-Lalande,1947-12-02,41,2,union pour un mouvement populaire,125.0,2,2007-06-20,2012-06-19
Gérard Gaudron,1949-05-26,93,10,union pour un mouvement populaire,240.0,2,2007-06-20,2012-06-19
Laure de La Raudière,1965-02-12,28,3,union pour un mouvement populaire,322.0,4,2007-06-20,2012-06-19
Germinal Peiro,1953-09-15,24,4,"socialiste, radical, citoyen et divers gauche",444.0,3,2007-06-20,2012-06-19
Jean-Claude Mignon,1950-02-02,77,1,union pour un mouvement populaire,27.0,2,2007-06-20,2012-06-19
Jean-Luc Préel,1940-10-30,85,1,nouveau centre,398.0,1,2007-06-20,2012-06-19
Élisabeth Guigou,1946-08-06,93,9,"socialiste, radical, citoyen et divers gauche",412.0,2,2007-06-20,2012-06-19
Yves Censi,1964-02-08,12,1,union pour un mouvement populaire,79.0,1,2007-06-20,2012-06-19
Jean-Patrick Gille,1962-01-28,37,1,"socialiste, radical, citoyen et divers gauche",395.0,2,2007-06-20,2012-06-19
Michel Heinrich,1946-02-15,88,1,union pour un mouvement populaire,118.0,2,2007-06-20,2012-06-19
Alain Claeys,1948-08-25,86,1,"socialiste, radical, citoyen et divers gauche",426.0,2,2007-06-20,2012-06-19
Geneviève Levy,1948-02-24,83,1,union pour un mouvement populaire,312.0,2,2007-06-20,2012-06-19
Michel Delebarre,1946-04-27,59,13,"socialiste, radical, citoyen et divers gauche",533.0,2,2007-06-20,2011-09-30
Dominique Le Sourd,1950-11-15,60,7,union pour un mouvement populaire,41.0,2,2011-10-28,2012-06-19
Yves Albarello,1952-03-17,77,7,union pour un mouvement populaire,225.0,2,2007-06-20,2012-06-19
Gaël Yanno,1961-07-02,988,1,union pour un mouvement populaire,237.0,2,2007-06-20,2012-06-19
Pascale Crozon,1944-05-29,69,6,"socialiste, radical, citoyen et divers gauche",536.0,2,2007-06-20,2012-06-19
Dominique Le Mèner,1958-11-12,72,5,union pour un mouvement populaire,205.0,2,2007-06-20,2012-06-19
