nom,date_naissance,num_deptmt,num_circo,groupe_sigle,place_en_hemicycle,nb_mandats,mandat_debut,mandat_fin
Bernard Derosier,1939-11-10,59,2,"socialiste, radical, citoyen et divers gauche",528.0,2,2007-06-20,2012-06-19
Serge Poignant,1947-11-01,44,10,union pour un mouvement populaire,262.0,1,2007-06-20,2012-06-19
Philippe Houillon,1951-12-15,95,1,union pour un mouvement populaire,337.0,2,2007-06-20,2012-06-19
Jean-Philippe Maurer,1960-07-07,67,2,union pour un mouvement populaire,303.0,2,2007-06-20,2012-06-19
Dominique Orliac,1952-03-15,46,1,"socialiste, radical, citoyen et divers gauche",630.0,2,2007-06-20,2012-06-19
Christian Ménard,1946-04-07,29,6,union pour un mouvement populaire,51.0,2,2007-06-20,2012-06-19
Geneviève Colot,1950-06-22,91,3,union pour un mouvement populaire,210.0,2,2007-06-20,2012-06-19
Conchita Lacuey,1943-09-30,33,4,"socialiste, radical, citoyen et divers gauche",531.0,3,2007-06-20,2012-06-19
Jean-Charles Taugourdeau,1953-07-17,49,3,union pour un mouvement populaire,350.0,2,2007-06-20,2012-06-19
Marc-Philippe Daubresse,1953-08-01,59,4,union pour un mouvement populaire,26.0,2,2010-12-14,2012-06-19
Jean-Michel Fourgous,1953-09-30,78,11,union pour un mouvement populaire,343.0,2,2007-06-20,2012-06-19
Philippe Armand Martin,1949-04-28,51,6,union pour un mouvement populaire,11.0,3,2007-06-20,2012-06-19
Martine Aurillac,1939-04-28,75,3,union pour un mouvement populaire,182.0,1,2007-06-20,2012-06-19
Guy Malherbe,1946-04-09,91,4,union pour un mouvement populaire,122.0,2,2007-07-20,2012-03-22
François Rochebloine,1945-10-31,42,3,nouveau centre,375.0,2,2007-06-20,2012-06-19
Christian Estrosi,1955-07-01,06,5,union pour un mouvement populaire,7.0,3,2010-12-14,2012-06-19
François Calvet,1953-04-01,66,3,union pour un mouvement populaire,146.0,3,2007-06-20,2011-09-30
Antoine Herth,1963-02-14,67,5,union pour un mouvement populaire,163.0,3,2007-06-20,2012-06-19
André Flajolet,1946-12-06,62,9,union pour un mouvement populaire,136.0,3,2007-06-20,2012-06-19
René Dosière,1941-08-03,02,1,"socialiste, radical, citoyen et divers gauche",554.0,1,2007-06-20,2012-06-19
Éric Woerth,1956-01-29,60,4,union pour un mouvement populaire,180.0,3,2010-12-14,2012-06-19
Annick Girardin,1964-08-03,975,1,"socialiste, radical, citoyen et divers gauche",621.0,2,2007-06-20,2012-06-19
Cécile Gallez,1936-05-16,59,21,union pour un mouvement populaire,3.0,2,2007-07-20,2010-12-14
Olivier Dosne,1961-01-20,94,7,union pour un mouvement populaire,17.0,2,2010-12-15,2012-06-19
Joël Regnault,1949-11-05,78,12,union pour un mouvement populaire,64.0,2,2011-07-30,2012-06-19
Geneviève Fioraso,1954-10-10,38,1,"socialiste, radical, citoyen et divers gauche",568.0,3,2007-06-20,2012-06-19
Lucien Degauchy,1937-06-11,60,5,union pour un mouvement populaire,52.0,4,2007-06-20,2012-06-19
Jean Auclair,1946-05-03,23,2,union pour un mouvement populaire,60.0,4,2007-06-20,2012-06-19
Raymond Durand,1945-10-01,69,11,nouveau centre,392.0,3,2008-06-02,2012-06-19
Aurélie Filippetti,1973-06-17,57,8,"socialiste, radical, citoyen et divers gauche",546.0,1,2007-06-20,2012-06-19
Françoise Guégot,1962-08-11,76,2,union pour un mouvement populaire,153.0,2,2007-06-20,2012-06-19
François Baroin,1965-06-21,10,3,union pour un mouvement populaire,174.0,3,2007-06-20,2010-04-23
Jean-Jacques Urvoas,1959-09-19,29,1,"socialiste, radical, citoyen et divers gauche",486.0,1,2007-06-20,2012-06-19
Pierre Morange,1956-09-08,78,6,union pour un mouvement populaire,332.0,2,2007-06-20,2012-06-19
Jean-Louis Bianco,1943-01-12,04,1,"socialiste, radical, citoyen et divers gauche",415.0,2,2007-06-20,2012-06-19
Michel Françaix,1943-05-28,60,3,"socialiste, radical, citoyen et divers gauche",457.0,2,2007-06-20,2012-06-19
Dominique Caillaud,1946-05-20,85,2,union pour un mouvement populaire,284.0,1,2007-06-20,2012-06-19
Michel Lezeau,1942-12-20,37,4,union pour un mouvement populaire,59.0,1,2007-07-20,2010-12-14
Jacqueline Fraysse,1947-02-25,92,4,democratie et republique,590.0,2,2007-06-20,2012-06-19
Bruno Bourg-Broc,1945-02-25,51,4,union pour un mouvement populaire,298.0,3,2009-07-23,2012-06-19
Jean-Michel Couve,1940-01-03,83,4,union pour un mouvement populaire,171.0,1,2007-06-20,2012-06-19
Jean-Christophe Cambadélis,1951-08-14,75,20,"socialiste, radical, citoyen et divers gauche",431.0,1,2007-06-20,2012-06-19
Michel Sapin,1952-04-09,36,1,"socialiste, radical, citoyen et divers gauche",506.0,3,2007-06-20,2012-06-19
Régis Juanico,1972-02-05,42,1,"socialiste, radical, citoyen et divers gauche",564.0,2,2007-06-20,2012-06-19
Alain Néri,1942-05-01,63,2,"socialiste, radical, citoyen et divers gauche",522.0,3,2007-06-20,2011-09-30
Marc Le Fur,1956-11-28,22,3,union pour un mouvement populaire,54.0,2,2007-06-20,2012-06-19
Gilles d'Ettore,1968-05-23,34,7,union pour un mouvement populaire,124.0,3,2007-06-20,2012-06-19
Jean-Marie Morisset,1947-08-18,79,3,union pour un mouvement populaire,243.0,2,2007-06-20,2012-06-19
Bruno Sandras,1961-08-04,987,2,union pour un mouvement populaire,323.0,2,2007-06-20,2012-06-19
Catherine Lemorton,1961-06-20,31,1,"socialiste, radical, citoyen et divers gauche",572.0,1,2007-06-20,2012-06-19
Étienne Pinte,1939-03-19,78,1,union pour un mouvement populaire,329.0,1,2007-06-20,2012-06-19
Michel Vauzelle,1944-08-15,13,16,"socialiste, radical, citoyen et divers gauche",417.0,2,2007-06-20,2012-06-19
Jean-Yves Le Déaut,1945-02-01,54,6,"socialiste, radical, citoyen et divers gauche",447.0,2,2007-06-20,2012-06-19
Jean Grenet,1939-07-12,64,5,union pour un mouvement populaire,311.0,2,2007-06-20,2012-06-19
Daniel Boisserie,1946-06-08,87,2,"socialiste, radical, citoyen et divers gauche",360.0,3,2007-06-20,2012-06-19
Yves Vandewalle,1950-06-05,78,2,union pour un mouvement populaire,233.0,3,2007-07-20,2012-06-19
Daniel Poulou,1943-07-28,64,6,union pour un mouvement populaire,85.0,1,2007-07-20,2011-03-28
Pierre Lang,1947-06-13,57,6,union pour un mouvement populaire,9.0,3,2007-06-20,2012-06-19
Patrick Devedjian,1944-08-26,92,13,union pour un mouvement populaire,192.0,2,2010-12-14,2012-06-19
Gabriel Biancheri,1943-10-01,26,4,union pour un mouvement populaire,14.0,3,2007-06-20,2010-12-29
Georges Ginesta,1942-07-08,83,5,union pour un mouvement populaire,313.0,3,2007-06-20,2012-06-19
Michel Bouvard,1955-03-17,73,3,union pour un mouvement populaire,185.0,2,2007-06-20,2012-06-19
Jean-Pierre Grand,1950-11-18,34,3,union pour un mouvement populaire,75.0,3,2007-06-20,2012-06-19
Richard Dell'Agnola,1949-02-06,94,12,union pour un mouvement populaire,357.0,2,2007-06-20,2012-06-19
Christophe Bouillon,1969-03-04,76,5,"socialiste, radical, citoyen et divers gauche",634.0,2,2007-06-20,2012-06-19
Claude Birraux,1946-01-19,74,4,union pour un mouvement populaire,270.0,2,2007-06-20,2012-06-19
Philippe Vitel,1955-02-22,83,2,union pour un mouvement populaire,327.0,2,2007-06-20,2012-06-19
David Douillet,1969-02-17,78,12,union pour un mouvement populaire,64.0,2,2009-10-19,2011-07-29
Marianne Dubois,1957-12-17,45,5,union pour un mouvement populaire,132.0,2,2009-11-04,2012-06-19
Fernand Siré,1945-03-31,66,2,union pour un mouvement populaire,145.0,3,2010-04-01,2012-06-19
Jacques Houssin,1964-02-16,59,4,union pour un mouvement populaire,20.0,4,2010-04-23,2010-12-14
Pascal Brindeau,1974-06-20,41,3,nouveau centre,403.0,1,2010-12-15,2012-06-19
Françoise De Salvador,1952-07-18,91,9,union pour un mouvement populaire,370.0,1,2010-04-23,2011-06-30
Gérard Menuel,1952-05-07,10,3,union pour un mouvement populaire,14.0,4,2010-04-23,2012-06-19
Anny Poursinoff,1951-10-30,78,10,non-inscrits,602.0,2,2010-07-12,2012-06-19
Jacqueline Farreyrol,1939-02-25,974,3,union pour un mouvement populaire,242.0,2,2010-11-13,2011-09-30
Marie-Claude Marchand,1954-07-22,59,19,"socialiste, radical, citoyen et divers gauche",550.0,1,2011-05-03,2012-06-19
Paul Salen,1949-06-17,42,7,union pour un mouvement populaire,56.0,1,2011-05-06,2012-06-19
Raymond Lancelin,1944-03-15,37,2,union pour un mouvement populaire,359.0,1,2011-07-30,2012-06-19
Joseph Bossé,1946-02-14,49,7,union pour un mouvement populaire,155.0,1,2011-07-30,2012-06-19
Michel Rossi,1953-01-05,06,7,union pour un mouvement populaire,319.0,4,2011-07-30,2012-06-19
Jean-François Lamour,1956-02-02,75,13,les republicains,80.0,2,2012-06-20,2017-06-20
Jean-Michel Clément,1954-10-31,86,3,"socialistes, ecologistes et republicains",263.0,2,2012-06-20,2017-06-20
Bernard Reynès,1953-10-18,13,15,les republicains,190.0,2,2012-06-20,2017-06-20
Marc Laffineur,1945-08-10,49,7,les republicains,183.0,2,2012-06-20,2017-06-20
Charles de Courson,1952-04-02,51,5,union des democrates et independants,295.0,3,2012-06-20,2017-06-20
Christian Paul,1960-03-23,58,2,"socialistes, ecologistes et republicains",336.0,2,2012-06-20,2017-06-20
Jean-Pierre Dufau,1943-07-05,40,2,"socialistes, ecologistes et republicains",500.0,2,2012-06-20,2017-06-20
Hervé Féron,1956-08-03,54,2,"socialistes, ecologistes et republicains",524.0,2,2012-06-20,2017-06-20
Jean-Louis Touraine,1945-10-08,69,3,"socialistes, ecologistes et republicains",518.0,3,2012-06-20,2017-06-20
Paul Giacobbi,1957-06-04,2B,2,"radical, republicain, democrate et progressiste",269.0,3,2012-06-20,2017-06-20
Marc Le Fur,1956-11-28,22,3,les republicains,96.0,2,2012-06-20,2017-06-20
Jean-René Marsac,1954-04-21,35,4,"socialistes, ecologistes et republicains",527.0,1,2012-06-20,2017-06-20
Jean Leonetti,1948-07-09,06,7,les republicains,81.0,2,2012-06-20,2017-06-20
Valérie Fourneyron,1959-10-04,76,1,"socialistes, ecologistes et republicains",335.0,2,2014-07-04,2017-06-20
François de Rugy,1973-12-06,44,1,"socialistes, ecologistes et republicains",274.0,3,2012-06-20,2017-06-20
Jérôme Chartier,1966-11-14,95,7,les republicains,85.0,3,2012-06-20,2017-06-20
Renaud Gauquelin,1954-11-07,69,7,"socialistes, ecologistes et republicains",541.0,2,2016-03-12,2017-06-20
Francis Hillmeyer,1946-09-09,68,6,union des democrates et independants,234.0,2,2012-06-20,2017-06-20
Patrick Lemasle,1952-05-18,31,7,"socialistes, ecologistes et republicains",540.0,2,2012-06-20,2017-06-20
Jérôme Lambert,1957-06-07,16,3,"radical, republicain, democrate et progressiste",300.0,1,2012-06-20,2017-06-20
Patrice Verchère,1973-12-29,69,8,les republicains,143.0,2,2012-06-20,2017-06-20
Hervé Gaymard,1960-05-31,73,2,les republicains,170.0,2,2012-06-20,2017-06-20
Paul Salen,1949-06-17,42,6,les republicains,241.0,1,2012-06-20,2017-06-20
Thierry Lazaro,1960-09-27,59,6,les republicains,89.0,2,2012-06-20,2017-06-20
Pascale Got,1961-04-01,33,5,"socialistes, ecologistes et republicains",523.0,2,2012-06-20,2017-06-20
Françoise Guégot,1962-08-11,76,2,les republicains,91.0,2,2012-06-20,2017-06-20
Jean-Claude Perez,1964-03-31,11,1,"socialistes, ecologistes et republicains",412.0,2,2012-06-20,2017-06-20
Thierry Mariani,1958-08-08,999,11,les republicains,7.0,2,2012-06-20,2017-06-20
Franck Reynier,1965-10-20,26,2,union des democrates et independants,211.0,2,2012-06-20,2017-06-20
Annick Lepetit,1958-03-31,75,3,"socialistes, ecologistes et republicains",372.0,2,2012-06-20,2017-06-20
Noël Mamère,1948-12-25,33,3,non-inscrits,303.0,2,2012-06-20,2017-06-20
François Scellier,1936-05-07,95,6,les republicains,6.0,2,2012-06-20,2017-06-20
Gérard Cherpion,1948-03-15,88,2,les republicains,114.0,2,2012-06-20,2017-06-20
Jacqueline Fraysse,1947-02-25,92,4,democratie et republique,590.0,2,2012-06-20,2017-06-20
Maurice Leroy,1959-02-02,41,3,union des democrates et independants,200.0,2,2012-06-20,2017-06-20
Francis Vercamer,1958-05-10,59,7,union des democrates et independants,191.0,2,2012-06-20,2017-06-20
François Cornut-Gentille,1958-05-22,52,2,les republicains,94.0,2,2012-06-20,2017-06-20
Denis Jacquat,1944-05-29,57,2,les republicains,135.0,2,2012-06-20,2017-06-20
René Dosière,1941-08-03,02,1,"socialistes, ecologistes et republicains",461.0,1,2012-06-20,2017-06-20
Martine Carrillon-Couvreur,1948-03-21,58,1,"socialistes, ecologistes et republicains",415.0,2,2012-06-20,2017-06-20
Josette Pons,1947-12-12,83,6,les republicains,109.0,2,2012-06-20,2017-06-20
Michel Voisin,1944-10-06,01,4,les republicains,28.0,2,2012-06-20,2017-06-20
Pascal Terrasse,1964-10-26,07,1,"socialistes, ecologistes et republicains",333.0,2,2012-06-20,2017-03-23
Bruno Le Roux,1965-05-02,93,1,"socialistes, ecologistes et republicains",454.0,1,2017-04-22,2017-06-20
Jean-Claude Mignon,1950-02-02,77,1,les republicains,27.0,2,2012-06-20,2017-06-20
Alain Rousset,1951-02-16,33,7,"socialistes, ecologistes et republicains",339.0,2,2012-06-20,2017-06-20
Marc-Philippe Daubresse,1953-08-01,59,4,les republicains,26.0,2,2012-06-20,2017-06-20
Éric Ciotti,1965-09-28,06,1,les republicains,196.0,2,2012-06-20,2017-06-20
Victorin Lurel,1951-08-20,971,4,"socialistes, ecologistes et republicains",256.0,2,2014-05-03,2017-06-20
Christian Bataille,1946-05-13,59,12,"socialistes, ecologistes et republicains",354.0,2,2012-06-20,2017-06-20
Marcel Rogemont,1948-01-03,35,8,"socialistes, ecologistes et republicains",528.0,2,2012-06-20,2017-06-20
Françoise Imbert,1947-09-16,31,5,"socialistes, ecologistes et republicains",532.0,1,2012-06-20,2017-06-20
Monique Iborra,1945-03-08,31,6,"socialistes, ecologistes et republicains",370.0,2,2012-06-20,2017-06-20
Claude Goasguen,1945-03-12,75,14,les republicains,172.0,3,2012-06-20,2017-06-20
Daniel Fasquelle,1963-01-16,62,4,les republicains,62.0,2,2012-06-20,2017-06-20
Marie-Louise Fort,1950-12-03,89,3,les republicains,87.0,2,2012-06-20,2017-06-20
François Fillon,1954-03-04,75,2,les republicains,168.0,2,2012-06-20,2017-06-20
Thierry Benoit,1966-09-13,35,6,union des democrates et independants,245.0,2,2012-06-20,2017-06-20
Marc Dolez,1952-10-21,59,17,democratie et republique,583.0,1,2012-06-20,2017-06-20
Philippe Vigier,1958-02-03,28,4,union des democrates et independants,294.0,3,2012-06-20,2017-06-20
Jean-Claude Bouchet,1957-05-02,84,2,les republicains,24.0,2,2012-06-20,2017-06-20
Marie-Odile Bouillé,1950-10-13,44,8,"socialistes, ecologistes et republicains",332.0,3,2012-06-20,2017-06-20
Jean-Pierre Gorges,1953-08-03,28,1,les republicains,204.0,2,2012-06-20,2017-06-20
Olivier Dussopt,1978-08-16,07,2,"socialistes, ecologistes et republicains",267.0,2,2012-06-20,2017-06-20
Marcel Bonnot,1946-05-24,25,3,les republicains,18.0,2,2012-06-20,2017-06-20
François Asensi,1945-06-01,93,11,democratie et republique,588.0,2,2012-06-20,2017-06-20
André Santini,1940-10-20,92,10,union des democrates et independants,220.0,2,2012-06-20,2017-06-20
Pierre Lellouche,1951-05-03,75,1,les republicains,21.0,2,2012-06-20,2017-06-20
Hervé Morin,1961-08-17,27,3,union des democrates et independants,304.0,4,2012-06-20,2016-07-20
Jean-Michel Couve,1940-01-03,83,4,les republicains,171.0,2,2012-06-20,2017-06-20
Jean-Louis Christ,1951-01-24,68,2,les republicains,138.0,2,2012-06-20,2017-06-20
Jean-Paul Chanteguet,1949-12-09,36,1,"socialistes, ecologistes et republicains",418.0,2,2012-06-20,2017-06-20
Alain Moyne-Bressand,1945-07-30,38,6,les republicains,173.0,2,2012-06-20,2017-06-20
Jacqueline Maquet,1949-05-13,62,2,"socialistes, ecologistes et republicains",511.0,2,2012-06-20,2017-06-20
Michel Zumkeller,1966-01-21,90,2,union des democrates et independants,243.0,2,2012-06-20,2017-06-20
Marie-Line Reynaud,1954-07-17,16,2,"socialistes, ecologistes et republicains",537.0,1,2012-06-20,2017-06-20
Philippe Martin,1953-11-22,32,1,"socialistes, ecologistes et republicains",503.0,2,2014-05-03,2017-06-20
Pierre Lequiller,1949-12-04,78,4,les republicains,186.0,2,2012-06-20,2017-06-20
Dominique Dord,1959-09-01,73,1,les republicains,188.0,2,2012-06-20,2017-06-20
Gilbert Le Bris,1949-03-03,29,8,"socialistes, ecologistes et republicains",510.0,1,2012-06-20,2017-06-20
Bernard Gérard,1953-08-29,59,9,les republicains,53.0,2,2012-06-20,2017-06-20
François Pupponi,1962-07-31,95,8,"socialistes, ecologistes et republicains",444.0,2,2012-06-20,2017-06-20
Jean-Luc Reitzer,1951-12-29,68,3,les republicains,162.0,2,2012-06-20,2017-06-20
Michel Herbillon,1951-03-06,94,8,les republicains,185.0,2,2012-06-20,2017-06-20
Philippe Houillon,1951-12-15,95,1,les republicains,184.0,2,2012-06-20,2017-06-20
Alain Claeys,1948-08-25,86,1,"socialistes, ecologistes et republicains",346.0,2,2012-06-20,2017-06-20
François Rochebloine,1945-10-31,42,3,union des democrates et independants,201.0,1,2012-06-20,2017-06-20
Jean-Louis Dumont,1944-04-06,55,2,"socialistes, ecologistes et republicains",506.0,2,2012-06-20,2017-06-20
Patrice Martin-Lalande,1947-12-02,41,2,les republicains,125.0,2,2012-06-20,2017-06-20
Bernard Perrut,1957-01-24,69,9,les republicains,203.0,2,2012-06-20,2017-06-20
Édouard Courtial,1973-06-28,60,7,les republicains,41.0,2,2012-06-20,2017-06-20
Georges Fenech,1954-10-26,69,11,les republicains,141.0,3,2012-06-20,2017-06-20
Michèle Tabarot,1962-10-13,06,9,les republicains,182.0,2,2012-06-20,2017-06-20
Alain Bocquet,1946-05-06,59,20,democratie et republique,592.0,2,2012-06-20,2017-06-20
Jean-Christophe Cambadélis,1951-08-14,75,16,"socialistes, ecologistes et republicains",424.0,1,2012-06-20,2017-06-20
Nicole Ameline,1952-07-04,14,4,les republicains,83.0,1,2012-06-20,2017-06-20
Michel Lefait,1946-05-20,62,8,"socialistes, ecologistes et republicains",513.0,2,2012-06-20,2017-06-20
Gilles Bourdouleix,1960-04-15,49,5,non-inscrits,322.0,2,2012-06-20,2017-06-20
Bernard Lesterlin,1949-09-18,03,2,"socialistes, ecologistes et republicains",576.0,1,2012-06-20,2017-06-20
Alain Marty,1946-03-07,57,4,les republicains,235.0,2,2012-06-20,2017-06-20
Jacques Myard,1947-08-14,78,5,les republicains,165.0,2,2012-06-20,2017-06-20
Pascal Deguilhem,1956-02-09,24,1,"socialistes, ecologistes et republicains",264.0,3,2012-06-20,2017-06-20
Arnaud Richard,1971-04-30,78,7,union des democrates et independants,222.0,3,2012-06-20,2017-06-20
Jean-Charles Taugourdeau,1953-07-17,49,3,les republicains,223.0,2,2012-06-20,2017-06-20
Lionnel Luca,1954-12-19,06,6,les republicains,195.0,2,2012-06-20,2017-06-20
François-Xavier Villain,1950-05-31,59,18,union des democrates et independants,317.0,2,2012-06-20,2017-06-20
Éric Woerth,1956-01-29,60,4,les republicains,22.0,2,2012-06-20,2017-06-20
Philippe Gosselin,1966-10-23,50,1,les republicains,227.0,2,2012-06-20,2017-06-20
Alfred Marie-Jeanne,1936-11-15,972,1,democratie et republique,591.0,2,2012-06-20,2017-06-20
Patrick Balkany,1948-08-16,92,5,les republicains,102.0,2,2012-06-20,2017-06-20
Jacques Valax,1951-08-23,81,2,"socialistes, ecologistes et republicains",526.0,2,2012-06-20,2017-06-20
André Schneider,1947-01-03,67,3,les republicains,164.0,1,2012-06-20,2017-06-20
Annick Girardin,1964-08-03,975,1,non-inscrits,285.0,2,2014-06-30,2014-07-29
Laurence Arribagé,1970-05-25,31,3,les republicains,151.0,2,2014-06-02,2017-06-20
Jean-Pierre Decool,1952-10-19,59,14,les republicains,35.0,2,2012-06-20,2017-06-20
Jean-François Copé,1964-05-05,77,6,les republicains,181.0,2,2012-06-20,2017-06-20
Jean-Patrick Gille,1962-01-28,37,1,"socialistes, ecologistes et republicains",329.0,2,2012-06-20,2017-06-20
Joël Giraud,1959-10-14,05,2,"radical, republicain, democrate et progressiste",286.0,2,2012-06-20,2017-06-20
Alain Rodet,1944-06-04,87,1,"socialistes, ecologistes et republicains",520.0,2,2012-06-20,2017-06-20
Chantal Berthelot,1958-09-12,973,2,"socialistes, ecologistes et republicains",248.0,1,2012-06-20,2017-06-20
Henri Emmanuelli,1945-05-31,40,3,"socialistes, ecologistes et republicains",432.0,2,2012-06-20,2017-03-21
Monique Lubin,1963-07-16,40,3,non-inscrits,432.0,1,2017-03-22,2017-03-29
Corinne Erhel,1967-02-03,22,5,"socialistes, ecologistes et republicains",522.0,2,2012-06-20,2017-05-05
Jean-Claude Mathis,1939-08-15,10,2,les republicains,197.0,2,2012-06-20,2017-06-20
Bertrand Pancher,1958-06-05,55,1,union des democrates et independants,233.0,2,2012-06-20,2017-06-20
Bérengère Poletti,1959-10-14,08,1,les republicains,98.0,2,2012-06-20,2017-06-20
Delphine Batho,1973-03-23,79,2,"socialistes, ecologistes et republicains",453.0,1,2013-08-03,2017-06-20
Pascale Crozon,1944-05-29,69,6,"socialistes, ecologistes et republicains",260.0,2,2012-06-20,2017-06-20
Laurent Wauquiez,1975-04-12,43,1,les republicains,104.0,2,2012-06-20,2017-06-20
Pierre Morel-A-L'Huissier,1958-12-21,48,1,les republicains,215.0,2,2012-06-20,2017-06-20
Jean-Marie Sermier,1961-03-05,39,3,les republicains,226.0,2,2012-06-20,2017-06-20
Daniel Vaillant,1949-07-19,75,17,"socialistes, ecologistes et republicains",508.0,2,2012-06-20,2017-06-20
Marie-Noëlle Battistel,1956-08-20,38,4,"socialistes, ecologistes et republicains",259.0,2,2012-06-20,2017-06-20
Jean-Jacques Guillet,1946-10-16,92,8,les republicains,180.0,2,2012-06-20,2017-06-20
Martine Faure,1948-09-30,33,12,"socialistes, ecologistes et republicains",344.0,2,2012-06-20,2017-06-20
Rémi Delatte,1956-06-09,21,2,les republicains,198.0,2,2012-06-20,2017-06-20
Michel Destot,1946-09-02,38,3,"socialistes, ecologistes et republicains",536.0,3,2012-06-20,2017-06-20
Marie-George Buffet,1949-05-07,93,4,democratie et republique,593.0,2,2012-06-20,2017-06-20
Dominique Baert,1959-10-24,59,8,"socialistes, ecologistes et republicains",498.0,2,2012-06-20,2017-06-20
Jacques Kossowski,1940-10-11,92,3,les republicains,15.0,2,2012-06-20,2017-06-20
Henri Jibrayel,1951-09-18,13,7,"socialistes, ecologistes et republicains",437.0,2,2012-06-20,2017-06-20
Patrick Labaune,1951-06-13,26,1,les republicains,217.0,2,2012-06-20,2017-06-20
Guénhaël Huet,1956-07-30,50,2,les republicains,228.0,2,2012-06-20,2017-06-20
Pierre-Alain Muet,1945-01-01,69,2,"socialistes, ecologistes et republicains",430.0,2,2012-06-20,2017-06-20
Bernard Deflesselles,1953-10-16,13,9,les republicains,88.0,2,2012-06-20,2017-06-20
Philippe Nauche,1957-07-15,19,2,"socialistes, ecologistes et republicains",357.0,2,2012-06-20,2017-06-20
Gilles Carrez,1948-08-29,94,5,les republicains,176.0,2,2012-06-20,2017-06-20
Bernard Roman,1952-07-15,59,1,"socialistes, ecologistes et republicains",424.0,2,2012-06-20,2016-07-21
Philippe Briand,1960-10-26,37,5,les republicains,177.0,2,2012-06-20,2017-06-20
Dominique Le Mèner,1958-11-12,72,5,les republicains,8.0,2,2012-06-20,2017-06-20
Jean-Christophe Lagarde,1967-10-24,93,5,union des democrates et independants,212.0,2,2012-06-20,2017-06-20
Jean-Jacques Candelier,1945-03-07,59,16,democratie et republique,586.0,2,2012-06-20,2017-06-20
Sylvia Pinel,1977-09-28,82,2,"radical, republicain, democrate et progressiste",271.0,2,2016-03-12,2017-06-20
Jean-Louis Borloo,1951-04-07,59,21,union des democrates et independants,212.0,2,2012-06-20,2014-04-30
Benoist Apparu,1969-11-24,51,4,les republicains,14.0,2,2012-06-20,2017-06-20
Serge Janquin,1943-08-05,62,10,"socialistes, ecologistes et republicains",512.0,2,2012-06-20,2017-06-20
Michel Liebgott,1958-02-15,57,8,"socialistes, ecologistes et republicains",551.0,2,2012-06-20,2017-06-20
Michel Pajon,1949-06-30,93,3,"socialistes, ecologistes et republicains",499.0,2,2012-06-20,2017-06-20
Catherine Lemorton,1961-06-20,31,1,"socialistes, ecologistes et republicains",429.0,1,2012-06-20,2017-06-20
Marc Goua,1940-03-03,49,2,"socialistes, ecologistes et republicains",414.0,2,2012-06-20,2017-06-20
Geneviève Levy,1948-02-24,83,1,les republicains,110.0,2,2012-06-20,2017-06-20
Jacques Dellerie,1947-01-28,76,9,"socialistes, ecologistes et republicains",402.0,2,2016-03-12,2017-06-20
Serge Letchimy,1953-01-13,972,3,"socialistes, ecologistes et republicains",255.0,2,2012-06-20,2017-06-20
Franck Marlin,1964-09-30,91,2,les republicains,9.0,2,2012-06-20,2017-06-20
Véronique Besse,1963-08-11,85,4,non-inscrits,325.0,2,2012-06-20,2017-06-20
Laurence Dumont,1958-06-02,14,2,"socialistes, ecologistes et republicains",411.0,1,2012-06-20,2017-06-20
Bernard Accoyer,1945-08-12,74,1,les republicains,93.0,2,2012-06-20,2017-06-20
Christophe Sirugue,1966-08-14,71,5,"socialistes, ecologistes et republicains",356.0,3,2012-06-20,2016-10-01
Valérie Boyer,1962-06-11,13,1,les republicains,134.0,3,2012-06-20,2017-06-20
Gisèle Biémouret,1952-06-16,32,2,"socialistes, ecologistes et republicains",337.0,2,2012-06-20,2017-06-20
Lionel Tardy,1966-06-07,74,2,les republicains,216.0,1,2012-06-20,2017-06-20
Jean-Paul Bacquet,1949-03-11,63,4,"socialistes, ecologistes et republicains",331.0,2,2012-06-20,2017-06-20
Geneviève Fioraso,1954-10-10,38,1,"socialistes, ecologistes et republicains",497.0,3,2015-04-06,2017-06-20
Gérard Bapt,1946-02-04,31,2,"socialistes, ecologistes et republicains",351.0,2,2012-06-20,2017-06-20
Arlette Grosskost,1953-07-19,68,5,les republicains,76.0,2,2012-06-20,2017-06-20
Jean-Pierre Door,1942-04-01,45,4,les republicains,119.0,2,2012-06-20,2017-06-20
Michel Piron,1943-03-15,49,4,union des democrates et independants,244.0,3,2012-06-20,2017-06-20
François Loncle,1941-10-21,27,4,"socialistes, ecologistes et republicains",253.0,1,2012-06-20,2017-06-20
Philippe Goujon,1954-04-30,75,12,les republicains,19.0,3,2012-06-20,2017-06-20
Martial Saddier,1969-10-15,74,3,les republicains,124.0,2,2012-06-20,2017-06-20
Fernand Siré,1945-03-31,66,2,les republicains,12.0,2,2012-06-20,2017-06-20
Edouard Philippe,1970-11-28,76,7,les republicains,239.0,2,2012-06-20,2017-06-15
Éric Straumann,1964-08-17,68,1,les republicains,137.0,2,2012-06-20,2017-06-20
Philippe Meunier,1966-03-16,69,13,les republicains,144.0,2,2012-06-20,2017-06-20
Daniel Goldberg,1965-08-24,93,10,"socialistes, ecologistes et republicains",436.0,2,2012-06-20,2017-06-20
Manuel Valls,1962-08-13,91,1,"socialistes, ecologistes et republicains",420.0,2,2017-01-07,2017-06-20
Yves Durand,1946-06-06,59,11,"socialistes, ecologistes et republicains",343.0,2,2012-06-20,2017-06-20
Guillaume Garot,1966-05-29,53,1,"socialistes, ecologistes et republicains",345.0,2,2014-05-03,2017-06-20
